Dasharo compatibility module,Test ID,Test name,Automation state,v0.1.0,v0.2.0,v0.3.0,v0.4.0,v1.0.0,v1.1.0,v1.1.1,v1.1.2
Dasharo: flash coreboot,,Firmware building,MANUAL,NOT TESTED,PASS,PASS,PASS,PASS,PASS,PASS,PASS
,,Firmware flashing - external programmer,MANUAL,NOT TESTED,NOT TESTED,PASS,PASS,PASS,PASS,PASS,PASS
,,Firmware flashing - internal programmer (Ubuntu 22.04),TO DO,NOT TESTED,PASS,PASS,PASS,PASS,PASS,PASS,PASS
Dasharo compatibility: UEFI compatible interface,EFI001.001,Boot into UEFI OS (Ubuntu 22.04),AUTOMATED,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS
,EFI001.002,EFI001.002 Boot into UEFI OS (Windows 11),AUTOMATED,NOT SUPPORTED,NOT SUPPORTED,PASS,PASS,PASS,PASS,PASS,PASS
Dasharo compatibility: Display ports and LCD support,DSP002.001,External HDMI display in OS (Ubuntu 22.04),AUTOMATED,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS
,DSP002.002 ,External HDMI display in OS (Windows 11),AUTOMATED,NOT SUPPORTED,NOT SUPPORTED,PASS,PASS,PASS,PASS,PASS,PASS
,DSP002.003,External HDMI display in firmware,MANUAL,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS
,DSP003.001,External DP display in OS (Ubuntu 22.04),AUTOMATED,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS
,DSP003.002,External DP display in OS (Windows 11),AUTOMATED,NOT SUPPORTED,NOT SUPPORTED,PASS,PASS,PASS,PASS,PASS,PASS
,DSP003.003,External DP display in firmware,MANUAL,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS
Dasharo Security: USB stack,USS001.001,Enable USB stack (firmware),MANUAL,NOT TESTED,NOT TESTED,NOT TESTED,NOT TESTED,NOT TESTED,NOT TESTED,PASS,NOT TESTED
,USS002.001,Disable USB stack (firmware),MANUAL,NOT TESTED,NOT TESTED,NOT TESTED,NOT TESTED,NOT TESTED,NOT TESTED,PASS,NOT TESTED
,USS003.001,Enable USB Mass Storage (firmware),MANUAL,NOT TESTED,NOT TESTED,NOT TESTED,NOT TESTED,NOT TESTED,NOT TESTED,PASS,PASS
,USS004.001,Disable USB Mass Storage (firmware),MANUAL,NOT TESTED,NOT TESTED,NOT TESTED,NOT TESTED,NOT TESTED,NOT TESTED,PASS,PASS
Dasharo compatibility: USB HID and MSC Support,USB001.001,USB devices detection (firmware),MANUAL,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS
,USB001.002,USB devices detection in OS (Ubuntu 22.04),AUTOMATED,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS
,USB001.003,USB devices detection in OS (Windows 11),AUTOMATED,NOT SUPPORTED,NOT SUPPORTED,PASS,PASS,PASS,PASS,PASS,PASS
,USB002.001,USB keyboard detection (firmware),MANUAL,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS
,USB002.002,USB keyboard detection (Ubuntu 22.04),AUTOMATED,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS
,USB002.003,USB keyboard detection (Windows 11),AUTOMATED,NOT SUPPORTED,NOT SUPPORTED,PASS,PASS,PASS,PASS,PASS,PASS
,USB003.001,Upload 1GB file on USB storage (Ubuntu 22.04),AUTOMATED,NOT TESTED,NOT TESTED,NOT TESTED,NOT TESTED,NOT TESTED,NOT TESTED,PASS,NOT TESTED
,USB003.002,Upload 1GB file on USB storage (Windows 11),AUTOMATED,NOT TESTED,NOT TESTED,NOT TESTED,NOT TESTED,NOT TESTED,NOT TESTED,PASS,NOT TESTED
Dasharo compatibility: UEFI Shell,USH001.001,UEFI Shell,MANUAL,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS
Dasharo compatibility: SMBIOS,DMI001.001,Verify the serial number,AUTOMATED,NOT SUPPORTED,NOT SUPPORTED,NOT SUPPORTED,NOT SUPPORTED,NOT SUPPORTED,NOT SUPPORTED,NOT SUPPORTED,NOT SUPPORTED
,DMI002.001,Verify the firmware version,AUTOMATED,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS
,DMI003.001,Verify the firmware product name,AUTOMATED,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS
,DMI004.001,Verify the firmware release date,AUTOMATED,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS
,DMI005.001,Verify the firmware manufacturer,AUTOMATED,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS
,DMI006.001,Verify the firmware vendor,AUTOMATED,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS
,DMI007.001,Verify the firmware family,AUTOMATED,NOT SUPPORTED,NOT SUPPORTED,NOT SUPPORTED,NOT SUPPORTED,NOT SUPPORTED,NOT SUPPORTED,NOT SUPPORTED,NOT SUPPORTED
,DMI008.001,Verify the firmware type,AUTOMATED,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS
Dasharo compatibility: Custom Logo,CLG001.001,Custom boot logo,MANUAL,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS
Custom Boot Keys,CBK001.001,Custom boot menu key,AUTOMATED,NOT SUPPORTED,NOT SUPPORTED,NOT SUPPORTED,PASS,PASS,PASS,PASS,PASS
,CBK002.001,Custom setup key,AUTOMATED,NOT SUPPORTED,NOT SUPPORTED,NOT SUPPORTED,PASS,PASS,PASS,PASS,PASS
Dasharo compatibility: M.2 WiFi/Bluetooth,WLE001.001,Wireless card detection (Ubuntu 22.04),AUTOMATED,NOT SUPPORTED,PASS,PASS,PASS,PASS,PASS,PASS,PASS
,WLE001.002,Wireless card detection (Windows 11),AUTOMATED,NOT SUPPORTED,NOT SUPPORTED,PASS,PASS,PASS,PASS,PASS,PASS
,WLE002.001,Wi-Fi scanning (Ubuntu 22.04),AUTOMATED,NOT SUPPORTED,PASS,PASS,PASS,PASS,PASS,PASS,PASS
,WLE002.002,Wi-Fi scanning (Windows 11),AUTOMATED,NOT SUPPORTED,NOT SUPPORTED,PASS,PASS,PASS,PASS,PASS,PASS
