Dasharo compatibility module,Test ID,Test name,Automation state,v0.9.0
Dasharo: flash coreboot,,Firmware building,MANUAL,PASS
,,Firmware flashing - external programmer,MANUAL,PASS
,,Firmware flashing - internal programmer (Ubuntu 22.04),MANUAL,PASS
Dasharo compatibility: UEFI compatible interface,EFI001.001,Boot into UEFI OS (Ubuntu 22.04),AUTOMATED,PASS
,EFI001.002,EFI001.002 Boot into UEFI OS (Windows 11),AUTOMATED,PASS
Dasharo compatibility: Display ports and LCD support,DSP002.001,External HDMI display in OS (Ubuntu 22.04),AUTOMATED,PASS
,DSP002.002 ,External HDMI display in OS (Windows 11),AUTOMATED,PASS
,DSP002.003,External HDMI display in firmware,MANUAL,PASS
,DSP003.001,External DP display in OS (Ubuntu 22.04),AUTOMATED,PASS
,DSP003.002,External DP display in OS (Windows 11),AUTOMATED,PASS
,DSP003.003,External DP display in firmware,MANUAL,PASS
Dasharo Security: USB stack,USS001.001,Enable USB stack (firmware),AUTOMATED,NOT TESTED
,USS002.001,Disable USB stack (firmware),AUTOMATED,NOT TESTED
,USS003.001,Enable USB Mass Storage (firmware),AUTOMATED,PASS
,USS004.001,Disable USB Mass Storage (firmware),AUTOMATED,PASS
Dasharo compatibility: USB HID and MSC Support,USB001.001,USB devices detection (firmware),MANUAL,PASS
,USB001.002,USB devices detection in OS (Ubuntu 22.04),AUTOMATED,PASS
,USB001.003,USB devices detection in OS (Windows 11),AUTOMATED,PASS
,USB002.001,USB keyboard detection (firmware),MANUAL,PASS
,USB002.002,USB keyboard detection (Ubuntu 22.04),AUTOMATED,PASS
,USB002.003,USB keyboard detection (Windows 11),AUTOMATED,PASS
,USB003.001,Upload 1GB file on USB storage (Ubuntu 22.04),AUTOMATED,NOT TESTED
,USB003.002,Upload 1GB file on USB storage (Windows 11),AUTOMATED,NOT TESTED
Dasharo compatibility: UEFI Shell,USH001.001,UEFI Shell,MANUAL,PASS
Dasharo compatibility: SMBIOS,DMI001.001,Verify the serial number,AUTOMATED,PASS
,DMI002.001,Verify the firmware version,AUTOMATED,PASS
,DMI003.001,Verify the firmware product name,AUTOMATED,PASS
,DMI004.001,Verify the firmware release date,AUTOMATED,PASS
,DMI005.001,Verify the firmware manufacturer,AUTOMATED,PASS
,DMI006.001,Verify the firmware vendor,AUTOMATED,PASS
,DMI007.001,Verify the firmware family,AUTOMATED,PASS
,DMI008.001,Verify the firmware type,AUTOMATED,PASS
Dasharo compatibility: Custom Logo,CLG001.001,Custom boot logo,MANUAL,PASS
Dasharo compatibility: Custom Boot Keys,CBK001.001,Custom boot menu key,AUTOMATED,PASS
,CBK002.001,Custom setup key,AUTOMATED,PASS
Dasharo compatibility: M.2 WiFi/Bluetooth,WLE001.001,Wireless card detection (Ubuntu 22.04),AUTOMATED,PASS
,WLE001.002,Wireless card detection (Windows 11),AUTOMATED,PASS
,WLE002.001,Wi-Fi scanning (Ubuntu 22.04),AUTOMATED,PASS
,WLE002.002,Wi-Fi scanning (Windows 11),AUTOMATED,PASS
,WLE003.001,Bluetooth scanning (Ubuntu 22.04),AUTOMATED,PASS
,WLE003.002 ,Bluetooth scanning (Windows 11),MANUAL,PASS
Dasharo compatibility: Audio subsystem,AUD001.001,Audio subsystem detection (Ubuntu 22.04),AUTOMATED,PASS
,AUD001.002,Audio subsystem detection (Windows 11),MANUAL,PASS
,AUD004.001,External headset recognition (Ubuntu 22.04),AUTOMATED,PASS
