Test name,Test ID,Result,Comments
"Serial boot time measure: coreboot booting time after coldboot (Ubuntu)",CBMEM001.201,PASS,
"Serial boot time measure: coreboot booting time after warmboot (Ubuntu)",CBMEM002.201,PASS,
"Serial boot time measure: coreboot booting time after system reboot (Ubuntu)",CBMEM003.201,PASS,
"CPU not stuck on initial frequency (Ubuntu)",CPF001.201,PASS,"Manual retest"
"CPU runs on expected frequency (Ubuntu)",CPF005.201,PASS,"Manual retest"
"CPU with load runs on expected frequency (Ubuntu)",CPF009.201,PASS,"Manual retest"
"CPU temperature without load (Ubuntu)",CPT001.201,PASS,"Manual retest"
"CPU temperature after stress test (Ubuntu)",CPT005.201,PASS,"Manual retest"
"CPU works (Ubuntu)",CPU001.201,PASS,
"CPU cache enabled (Ubuntu)",CPU002.201,PASS,
"Multiple CPU support (Ubuntu)",CPU003.201,PASS,
"Multiple-core support (Ubuntu)",CPU004.201,PASS,
"Verify the serial number (Ubuntu)",DMI001.201,PASS,
"Verify the firmware version (Ubuntu)",DMI002.201,PASS,
"Verify the firmware product name (Ubuntu)",DMI003.201,PASS,
"Verify the firmware release date (Ubuntu)",DMI004.201,PASS,
"Verify the firmware manufacturer (Ubuntu)",DMI005.201,PASS,
"Verify the firmware vendor (Ubuntu)",DMI006.201,PASS,
"Verify the firmware family (Ubuntu)",DMI007.201,PASS,
"Verify the firmware type (Ubuntu)",DMI008.201,PASS,
"NVMe support in OS (Ubuntu)",NVM001.201,PASS,
"NVMe detection after cold boot (Ubuntu)",SNV001.201,PASS,
"NVMe detection after warm boot (Ubuntu)",SNV002.201,PASS,
"NVMe detection after reboot (Ubuntu)",SNV003.201,PASS,
"Verify if no unexpected boot errors appear in Linux logs (Ubuntu)",STB002.201,FAIL,"https://github.com/Dasharo/dasharo-issues/issues/1845"
"USB devices detection after cold boot (Ubuntu)",SUD001.201,PASS,
"USB devices detection after warm boot (Ubuntu)",SUD002.201,PASS,
"USB devices detection after reboot (Ubuntu)",SUD003.201,PASS,
"USB devices detected by OS (Ubuntu)",USB001.201,PASS,
"USB keyboard in OS (Ubuntu)",USB002.201,PASS,
"Upload 1GB file on USB storage (Ubuntu)",USB003.201,PASS,
