Test name,Test ID,Result,Comments
"Change Auto Boot Time-out and check after reboot (EDK2 UEFI)",BMM001.101,PASS,
"F9 resets Auto Boot Time-out to default value (EDK2 UEFI)",BMM002.101,PASS,
"Check Auto Boot Time-out option not accept non-numeric values (EDK2 UEFI)",BMM003.101,PASS,
"Custom boot menu key (EDK2 UEFI)",CBK001.101,PASS,
"Custom BIOS Menu Key (EDK2 UEFI)",CBK002.101,PASS,
"Serial boot time measure: coreboot booting time after coldboot (Ubuntu)",CBMEM001.201,PASS,
"Serial boot time measure: coreboot booting time after warmboot (Ubuntu)",CBMEM002.201,PASS,
"Serial boot time measure: coreboot booting time after system reboot (Ubuntu)",CBMEM003.201,PASS,
"Custom Boot Order (EDK2 UEFI)",CBO001.101,PASS,
"Only one iPXE in boot menu (Ubuntu)",CNB001.201,PASS,
"CPU not stuck on initial frequency (Ubuntu)",CPF001.201,PASS,
"CPU not stuck on initial frequency (Windows)",CPF001.301,PASS,
"CPU runs on expected frequency (Ubuntu)",CPF005.201,PASS,
"CPU runs on expected frequency (Windows)",CPF005.301,PASS,
"CPU with load runs on expected frequency (Ubuntu)",CPF009.201,PASS,
"CPU with load runs on expected frequency (Windows)",CPF009.301,PASS,
"CPU temperature without load (Ubuntu)",CPT001.201,PASS,
"CPU temperature without load (Windows)",CPT001.301,PASS,
"CPU temperature after stress test (Ubuntu)",CPT005.201,PASS,
"CPU temperature after stress test (Windows)",CPT005.301,PASS,
"CPU works (Ubuntu)",CPU001.201,PASS,
"CPU works (Windows)",CPU001.301,PASS,
"CPU cache enabled (Ubuntu)",CPU002.201,PASS,
"CPU cache enabled (Windows)",CPU002.301,PASS,
"Multiple CPU support (Ubuntu)",CPU003.201,PASS,
"Multiple CPU support (Windows)",CPU003.301,PASS,
"Multiple-core support (Ubuntu)",CPU004.201,PASS,
"Multiple-core support (Windows)",CPU004.301,PASS,
"Verify the serial number (Ubuntu)",DMI001.201,PASS,
"Verify the firmware version (Ubuntu)",DMI002.201,PASS,
"Verify the firmware product name (Ubuntu)",DMI003.201,PASS,
"Verify the firmware release date (Ubuntu)",DMI004.201,PASS,
"Verify the firmware manufacturer (Ubuntu)",DMI005.201,PASS,
"Verify the firmware vendor (Ubuntu)",DMI006.201,PASS,
"Verify the firmware family (Ubuntu)",DMI007.201,PASS,
"Verify the firmware type (Ubuntu)",DMI008.201,PASS,
"Booting DTS from USB works correctly (DTS)",DTS001.211,PASS,
"DTS option Creating Dasharo HCL report works correctly (DTS)",DTS002.211,PASS,
"DTS option reboot DUT works correctly (DTS)",DTS003.211,PASS,
"DTS accessing shell works correctly (DTS)",DTS004.211,PASS,
"Flash device from DTS shell by using flashrom works correctly (DTS)",DTS005.211,PASS,
"DTS option power-off DUT works correctly (DTS)",DTS008.211,PASS,
"Network Boot enable (Ubuntu)",EBM001.201,PASS,
"Network Boot disable (Ubuntu)",EBM002.201,PASS,
"Custom Boot Order Add (Ubuntu)",EBM003.201,PASS,
"Custom Boot Order Remove (Ubuntu)",EBM004.201,PASS,
"Boot into UEFI OS (Ubuntu)",EFI001.201,PASS,
"Boot into UEFI OS (Windows)",EFI001.301,PASS,
"ESP Scan with OS-specific .efi files added (EDK2 UEFI)",ESP001.101,PASS,
"ESP Scan after deleting additional .efi files (EDK2 UEFI)",ESP002.101,PASS,
"ESP Scan ignores OSes on removable media (EDK2 UEFI)",ESP003.101,PASS,
"ESP Scan does not create duplicate entries (EDK2 UEFI)",ESP004.101,PASS,
