Test name,Test ID,Result,Comments
"ACPI driver test (Ubuntu)",ACPI001.201,PASS,
"Audio subsystem detection (Ubuntu)",AUD001.201,PASS,
"Audio subsystem detection (Qubes OS)",AUD001.203,PASS,
"Audio subsystem detection (Windows)",AUD001.301,PASS,
"Audio playback (Qubes OS)",AUD002.003,PASS,
"Internal speaker audio playback (Ubuntu)",AUD002.201,PASS,
"Internal speaker audio playback (Windows)",AUD002.301,PASS,
"Audio capture (Qubes OS)",AUD003.003,PASS,
"Internal microhphone audio capture (Ubuntu)",AUD003.201,PASS,
"Internal microphone audio capture (Windows)",AUD003.301,PASS,
"External headset recognition (Qubes OS)",AUD004.003,PASS,
"External headset recognition (Ubuntu)",AUD004.201,PASS,
"External headset recognition (Windows)",AUD004.301,PASS,
"External headset audio playback (Qubes OS)",AUD005.003,PASS,
"External headset audio playback (Ubuntu)",AUD005.201,PASS,
"External headset audio playback (Windows)",AUD005.301,PASS,
"External headset audio capture (Qubes OS)",AUD006.003,PASS,
"External headset audio capture (Ubuntu)",AUD006.201,PASS,
"External headset audio capture (Windows)",AUD006.301,PASS,
"Boot blocking (charger disconnected) (Ubuntu)",BBB001.001,PASS,
"Boot blocking (charger connected) (Ubuntu)",BBB001.002,PASS,
"BIOS lock support (Ubuntu)",BLS001.201,PASS,
"BIOS lock support deactivation (Ubuntu)",BLS002.201,PASS,
"Change Auto Boot Time-out and check after reboot",BMM001.001,PASS,
"F9 resets Auto Boot Time-out to default value",BMM002.001,PASS,
"Check Auto Boot Time-out option not accept non-numeric values",BMM003.001,PASS,
"Boot Ubuntu LTS from disk after cold-boot",BUB001.001,PASS,
"Boot Ubuntu LTS from disk after warm-boot",BUB002.001,PASS,
"Boot Ubuntu LTS from disk after reboot",BUB003.001,PASS,
"Boot Windows 11 from disk after cold-boot",BWI001.001,PASS,
"Boot Windows 11 from disk after warm-boot",BWI002.001,PASS,
"Boot Windows 11 from disk after reboot",BWI003.001,PASS,
"Integrated webcam (Ubuntu)",CAM001.201,PASS,
"Integrated webcam (Qubes OS)",CAM001.203,PASS,
"Integrated webcam (Windows)",CAM001.301,PASS,
"Custom boot menu key",CBK001.001,PASS,
"Custom BIOS Menu Key",CBK002.001,PASS,
"Converged Boot Guard and TXT - CBnT profile is 5 / FVME (Ubuntu)",CBNT001.201,PASS,
"Converged Boot Guard and TXT Status Menu is visible",CBNT002.101,PASS,
"Converged Boot Guard and TXT - PCR-0 is reconstructed correctly (Ubuntu)",CBNT003.201,PASS,
"Converged Boot Guard and TXT - TPM Startup from locality 3 (Ubuntu)",CBNT004.201,PASS,
"Converged Boot Guard and TXT - Fused platform EoM set and FPFs Committed (Ubuntu)",CBNT005.201,PASS,
"Setup Menu Boot Guard Information",CBNT006.101,PASS,
"Custom Boot Order",CBO001.101,PASS,
"Camera enable",CHS001.201,PASS,
"Camera disable",CHS002.201,PASS,
"Custom boot logo",CLG001.001,PASS,
"Only one iPXE in boot menu (Ubuntu)",CNB001.201,PASS,
"CPU not stuck on initial frequency (Qubes OS) (battery)",CPF001.014,PASS,
"CPU not stuck on initial frequency (Qubes OS) (AC)",CPF001.015,PASS,
"CPU not stuck on initial frequency (Qubes OS) (USB-PD)",CPF001.016,PASS,
"CPU not stuck on initial frequency (Ubuntu)",CPF001.201,PASS,
"CPU not stuck on initial frequency (QubesOS)",CPF001.203,PASS,
"CPU runs on expected frequency (Qubes OS) (battery)",CPF002.010,PASS,
"CPU runs on expected frequency (Qubes OS) (AC)",CPF002.011,PASS,
"CPU runs on expected frequency (Qubes OS) (USB-PD)",CPF002.012,PASS,
"CPU not stuck on initial frequency (Ubuntu) (battery)",CPF002.201,PASS,
"CPU not stuck on initial frequency (QubesOS) (battery)",CPF002.203,PASS,
"CPU not stuck on initial frequency (Windows) (battery)",CPF002.301,PASS,
"CPU not stuck on initial frequency (Ubuntu) (AC)",CPF003.201,PASS,
"CPU not stuck on initial frequency (QubesOS) (AC)",CPF003.203,PASS,
"CPU not stuck on initial frequency (Windows) (AC)",CPF003.301,PASS,
"CPU with load runs on expected frequency (Qubes OS) (battery)",CPF004.010,PASS,
"CPU with load runs on expected frequency (Qubes OS) (AC)",CPF004.011,PASS,
"CPU with load runs on expected frequency (Qubes OS) (USB-PD)",CPF004.012,PASS,
"CPU not stuck on initial frequency (Ubuntu) (USB-PD)",CPF004.201,PASS,
"CPU not stuck on initial frequency (QubesOS) (USB-PD)",CPF004.203,PASS,
"CPU not stuck on initial frequency (Windows) (USB-PD)",CPF004.301,PASS,
"CPU runs on expected frequency (Ubuntu)",CPF005.201,PASS,
"CPU runs on expected frequency (QubesOS)",CPF005.203,PASS,
"CPU runs on expected frequency (Windows)",CPF005.301,PASS,
"CPU runs on expected frequency (Ubuntu) (battery)",CPF006.201,PASS,
"CPU runs on expected frequency (Windows) (battery)",CPF006.301,PASS,
"CPU runs on expected frequency (Ubuntu) (AC)",CPF007.201,PASS,
"CPU runs on expected frequency (Windows) (AC)",CPF007.301,PASS,
"CPU runs on expected frequency (Ubuntu) (USB-PD)",CPF008.201,PASS,
"CPU runs on expected frequency (Windows) (USB-PD)",CPF008.301,PASS,"https://github.com/Dasharo/open-source-firmware-validation/issues/1073"
"CPU with load runs on expected frequency (Ubuntu)",CPF009.201,PASS,
"CPU with load runs on expected frequency (QubesOS)",CPF009.203,PASS,
"CPU with load runs on expected frequency (Windows)",CPF009.301,PASS,
"CPU with load runs on expected frequency (Ubuntu) (battery)",CPF010.201,PASS,
"CPU with load runs on expected frequency (Windows) (battery)",CPF010.301,PASS,"https://github.com/Dasharo/open-source-firmware-validation/issues/480"
"CPU with load runs on expected frequency (Ubuntu) (AC)",CPF011.201,PASS,
"CPU with load runs on expected frequency (Windows) (AC)",CPF011.301,PASS,
"CPU with load runs on expected frequency (Ubuntu) (USB-PD)",CPF012.201,PASS,
"CPU with load runs on expected frequency (Windows) (USB-PD)",CPF012.301,PASS,"https://github.com/Dasharo/open-source-firmware-validation/issues/1073"
"Single Threaded CPU Benchmark (Ubuntu) (AC)",CPP001.201,PASS,
"Multi Threaded CPU Benchmark (Ubuntu) (AC)",CPP002.201,PASS,
"Single Threaded CPU Benchmark (Ubuntu) (Battery)",CPP003.201,PASS,
"Multi Threaded CPU Benchmark (Ubuntu) (Battery)",CPP004.201,PASS,
"CPU temperature without load (Ubuntu)",CPT001.201,PASS,
"CPU temperature without load (QubesOS)",CPT001.203,PASS,
"CPU temperature without load (Ubuntu) (battery)",CPT002.201,PASS,
"CPU temperature without load (Ubuntu) (AC)",CPT003.201,PASS,
"CPU temperature without load (Ubuntu) (USB-PD)",CPT004.201,PASS,"https://github.com/Dasharo/open-source-firmware-validation/issues/1073"
"CPU temperature after stress test (Ubuntu)",CPT005.201,PASS,
"CPU temperature after stress test (QubesOS)",CPT005.203,PASS,
"CPU temperature after stress test (Ubuntu) (battery)",CPT006.201,PASS,
"CPU temperature after stress test (Ubuntu) (AC)",CPT007.201,PASS,
"CPU temperature after stress test (Ubuntu) (USB-PD)",CPT008.201,PASS,"https://github.com/Dasharo/open-source-firmware-validation/issues/1073"
"CPU works (Ubuntu)",CPU001.201,PASS,
"CPU works (Qubes OS)",CPU001.203,PASS,
"CPU works (Windows)",CPU001.301,PASS,
"CPU cache enabled (Ubuntu)",CPU002.201,PASS,
"CPU cache enabled (Qubes OS)",CPU002.203,PASS,
"CPU cache enabled (Windows)",CPU002.301,PASS,
"Multiple CPU support (Ubuntu)",CPU003.201,PASS,
"Multiple CPU support (Qubes OS)",CPU003.203,PASS,
"Multiple CPU support (Windows)",CPU003.301,PASS,
"Multiple-core support (Ubuntu)",CPU004.201,PASS,
"Multiple-core support (Qubes OS)",CPU004.203,PASS,
"Multiple-core support (Windows)",CPU004.301,PASS,
"Capsule Update With Wrong Keys",CUP001.001,PASS,
"Capsule Update With Wrong GUID",CUP002.001,PASS,
"Verifying BIOS Settings Persistence After Update - PART 1",CUP130.001,PASS,
"Capsule Update",CUP150.001,PASS,
"Verifying BIOS Settings Persistence After Update - PART 2",CUP160.001,PASS,
"Verifying UUID (Ubuntu)",CUP170.201,PASS,
"Verifying UUID (Windows)",CUP170.301,PASS,
"Verifying Serial Number (Ubuntu)",CUP180.201,PASS,
"Verifying Serial Number (Windows)",CUP180.301,PASS,
"Verifying If Custom Logo Persists Across updates (Ubuntu)",CUP190.201,PASS,
"Capsule Update Progress Bar - Default Logo",CUP250.001,PASS,
"Capsule update in Firmware Update Mode works",CUP260.101,PASS,"https://github.com/Dasharo/dasharo-issues/issues/1801"
"Change the bootsplash logo (Ubuntu)",DCU003.201,PASS,
"Sequential Read Performance (Ubuntu) (AC)",DIO001.201,PASS,
"Sequential Read Performance (Windows) (AC)",DIO001.301,PASS,
"Sequential Read Performance (Windows) (Battery)",DIO002.301,PASS,
"Sequential Write Performance (Windows) (AC)",DIO003.301,PASS,
"Sequential Write Performance (Windows) (Battery)",DIO004.301,PASS,
"Random Read Performance (Windows) (AC)",DIO005.301,PASS,
"Random Read Performance (Windows) (Battery)",DIO006.301,PASS,
"Random Write Performance (Windows) (AC)",DIO007.301,PASS,
"Random Write Performance (Windows) (Battery)",DIO008.301,PASS,
"Verify the serial number",DMI001.201,PASS,
"Verify the firmware version",DMI002.201,PASS,
"Verify the firmware product name",DMI003.201,PASS,
"Verify the firmware release date",DMI004.201,PASS,
"Verify the firmware manufacturer",DMI005.201,PASS,
"Verify the firmware vendor",DMI006.201,PASS,
"Verify the firmware family",DMI007.201,PASS,
"Verify the firmware type",DMI008.201,PASS,
"Internal LCD in firmware",DSP001.001,PASS,
"Internal display in OS",DSP001.201,PASS,
"Internal display in OS (Qubes OS)",DSP001.203,PASS,
"Internal display in OS (Windows)",DSP001.301,PASS,
"External HDMI display in firmware",DSP002.003,PASS,
"External HDMI display in OS (Ubuntu)",DSP002.201,PASS,
"External HDMI display in OS (Qubes OS)",DSP002.203,PASS,
"External HDMI display in OS (Windows)",DSP002.301,PASS,
"Flash device from DTS shell by using flashrom works correctly",DTS005.001,PASS,
"Flash device EC firmware by using DTS built-in script works correctly",DTS006.001,PASS,
"DTS option power-off DUT works correctly",DTS008.001,PASS,
