Test name,Test ID,Result,Comments
"ACPI driver test (Ubuntu)",ACPI001.001,NOT TESTED,
"ACPI driver test (Fedora)",ACPI001.002,NOT TESTED,
"Audio subsystem detection (Ubuntu)",AUD001.201,NOT TESTED,
"Audio subsystem detection (Fedora)",AUD001.202,NOT TESTED,
"Audio subsystem detection (Windows)",AUD001.301,NOT TESTED,
"Internal speaker audio playback (Ubuntu)",AUD002.201,NOT TESTED,
"Internal speaker audio playback (Windows)",AUD002.301,NOT TESTED,
"Internal microhphone audio capture (Ubuntu)",AUD003.201,NOT TESTED,
"Internal microphone audio capture (Windows)",AUD003.301,NOT TESTED,
"External headset recognition (Ubuntu)",AUD004.201,NOT TESTED,
"External headset recognition (Fedora)",AUD004.202,NOT TESTED,
"External headset recognition (Windows)",AUD004.301,NOT TESTED,
"External headset audio playback (Ubuntu)",AUD005.201,NOT TESTED,
"External headset audio playback (Windows)",AUD005.301,NOT TESTED,
"External headset audio capture (Ubuntu)",AUD006.201,NOT TESTED,
"External headset audio capture (Windows)",AUD006.301,NOT TESTED,
"Boot blocking (charger disconnected) (Ubuntu)",BBB001.001,NOT TESTED,
"Boot blocking (charger connected) (Ubuntu)",BBB001.002,NOT TESTED,
"BIOS lock support (Ubuntu)",BLS001.201,NOT TESTED,
"BIOS lock support deactivation (Ubuntu)",BLS002.201,NOT TESTED,
"Change Auto Boot Time-out and check after reboot",BMM001.001,NOT TESTED,
"F9 resets Auto Boot Time-out to default value",BMM002.001,NOT TESTED,
"Check Auto Boot Time-out option not accept non-numeric values",BMM003.001,NOT TESTED,
"Boot Windows 11 from disk after cold-boot",BWI001.001,NOT TESTED,
"Boot Windows 11 from disk after warm-boot",BWI002.001,NOT TESTED,
"Boot Windows 11 from disk after reboot",BWI003.001,NOT TESTED,
"Integrated webcam (Ubuntu)",CAM001.201,NOT TESTED,
"Integrated webcam (Windows)",CAM001.301,NOT TESTED,
"Custom boot menu key",CBK001.001,NOT TESTED,
"Custom BIOS Menu Key",CBK002.001,NOT TESTED,
"Serial boot time measure: coreboot booting time after coldboot",CBMEM001.201,NOT TESTED,
"Serial boot time measure: coreboot booting time after coldboot",CBMEM001.202,NOT TESTED,
"Serial boot time measure: coreboot booting time after warmboot",CBMEM002.201,NOT TESTED,
"Serial boot time measure: coreboot booting time after warmboot",CBMEM002.202,NOT TESTED,
"Serial boot time measure: coreboot booting time after system reboot",CBMEM003.201,NOT TESTED,
"Serial boot time measure: coreboot booting time after system reboot",CBMEM003.202,NOT TESTED,
"Custom Boot Order",CBO001.002,NOT TESTED,
"Camera enable",CHS001.201,NOT TESTED,
