Test name,Test ID,Result,Comments
"Audio subsystem detection (Qubes OS)",AUD001.003,PASS,
"Audio subsystem detection (Ubuntu)",AUD001.201,PASS,
"Audio subsystem detection (Fedora)",AUD001.202,PASS,
"Audio subsystem detection (Windows)",AUD001.301,PASS,
"Audio playback (Qubes OS)",AUD002.003,PASS,
"Audio capture (Qubes OS)",AUD003.003,PASS,
"External headset recognition (Qubes OS)",AUD004.003,PASS,
"External headset recognition (Ubuntu)",AUD004.201,PASS,
"External headset recognition (Fedora)",AUD004.202,PASS,
"External headset recognition (Windows)",AUD004.301,PASS,
"External headset audio playback (Qubes OS)",AUD005.003,PASS,
"External headset audio playback (Ubuntu)",AUD005.201,PASS,
"External headset audio playback (Windows)",AUD005.301,PASS,
"External headset audio capture (Qubes OS)",AUD006.003,PASS,
"External headset audio capture (Ubuntu)",AUD006.201,PASS,
"External headset audio capture (Windows)",AUD006.301,PASS,
"HDMI audio recognition (Qubes OS)",AUD007.003,PASS,
"HDMI audio recognition (Ubuntu)",AUD007.201,PASS,
"HDMI audio recognition (Windows)",AUD007.301,PASS,
"HDMI audio playback (Qubes OS)",AUD008.003,PASS,
"HDMI audio playback (Ubuntu)",AUD008.201,PASS,
"HDMI audio playback (Windows)",AUD008.301,PASS,
"BIOS lock support (Ubuntu)",BLS001.201,PASS,
"BIOS lock support (Fedora)",BLS001.202,PASS,
"BIOS lock support deactivation (Ubuntu)",BLS002.201,PASS,
"BIOS lock support deactivation (Fedora)",BLS002.202,PASS,
"Change Auto Boot Time-out and check after reboot",BMM001.001,PASS,
"F9 resets Auto Boot Time-out to default value",BMM002.001,PASS,
"Check Auto Boot Time-out option not accept non-numeric values",BMM003.001,PASS,
"Boot Windows 11 from disk after cold-boot",BWI001.001,PASS,
"Boot Windows 11 from disk after warm-boot",BWI002.001,PASS,
"Boot Windows 11 from disk after reboot",BWI003.001,PASS,
"Custom boot menu key",CBK001.001,PASS,
"Custom BIOS Menu Key",CBK002.001,PASS,
"Serial boot time measure: coreboot booting time after coldboot",CBMEM001.201,PASS,
"Serial boot time measure: coreboot booting time after coldboot",CBMEM001.202,PASS,"Total Time: 2,396,685, Total Time: 2,402,651, Total Time: 2,405,942, Total Time: 2,405,908, Total Time: 2,403,991"
"Serial boot time measure: coreboot booting time after warmboot",CBMEM002.201,PASS,
"Serial boot time measure: coreboot booting time after warmboot",CBMEM002.202,PASS,
"Serial boot time measure: coreboot booting time after system reboot",CBMEM003.201,PASS,
"Serial boot time measure: coreboot booting time after system reboot",CBMEM003.202,PASS,
"Custom Boot Order",CBO001.002,PASS,
"Custom boot logo",CLG001.001,PASS,"The logo looks good. Centered, colors are correct, the image is crisp"
"Only one iPXE in boot menu",CNB001.201,PASS,
"CPU not stuck on initial frequency (Ubuntu)",CPF001.201,PASS,
"CPU not stuck on initial frequency (Fedora)",CPF001.202,PASS,
"CPU not stuck on initial frequency (Windows)",CPF001.301,PASS,
"CPU runs on expected frequency (Ubuntu)",CPF005.201,PASS,
"CPU runs on expected frequency (Fedora)",CPF005.202,PASS,
"CPU runs on expected frequency (Windows)",CPF005.301,PASS,
"CPU with load runs on expected frequency (Ubuntu)",CPF009.201,PASS,
"CPU with load runs on expected frequency (Fedora)",CPF009.202,PASS,
"CPU temperature without load (Ubuntu)",CPT001.201,PASS,
"CPU temperature without load (Fedora)",CPT001.202,PASS,
"CPU temperature after stress test (Ubuntu)",CPT005.201,PASS,
"CPU temperature after stress test (Fedora)",CPT005.202,PASS,
"CPU works (Qubes OS)",CPU001.003,PASS,
"CPU works (Ubuntu)",CPU001.201,PASS,
"CPU works (Fedora)",CPU001.202,PASS,
"CPU works (Windows)",CPU001.301,PASS,
"CPU cache enabled (Qubes OS)",CPU002.003,PASS,
"CPU cache enabled (Ubuntu)",CPU002.201,PASS,
"CPU cache enabled (Fedora)",CPU002.202,PASS,
"CPU cache enabled (Windows)",CPU002.301,PASS,
"Multiple CPU support (Qubes OS)",CPU003.003,PASS,
"Multiple CPU support (Ubuntu)",CPU003.201,PASS,
"Multiple CPU support (Fedora)",CPU003.202,PASS,
"Multiple CPU support (Windows)",CPU003.301,PASS,
"Multiple-core support (Qubes OS)",CPU004.003,PASS,
"Multiple-core support (Ubuntu)",CPU004.201,PASS,
"Multiple-core support (Fedora)",CPU004.202,PASS,
"Multiple-core support (Windows)",CPU004.301,PASS,
"Capsule Update With Wrong Keys",CUP001.001,PASS,"automated, log lost due to some unknown robot framework error parsing XML file"
"Capsule Update With Wrong GUID",CUP002.001,PASS,"automated, log lost due to some unknown robot framework error parsing XML file"
"Capsule Update",CUP150.001,PASS,
"Capsule Update Progress Bar - Default Logo",CUP250.001,PASS,
"Change the bootsplash logo",DCU003.201,PASS,
"Verify the firmware version",DMI002.201,PASS,
"Verify the firmware product name",DMI003.201,PASS,
"Verify the firmware release date",DMI004.201,PASS,
"Verify the firmware manufacturer",DMI005.201,PASS,
"Verify the firmware vendor",DMI006.201,PASS,
"Verify the firmware family",DMI007.201,PASS,
"Verify the firmware type",DMI008.201,PASS,
"External HDMI display in OS (Qubes OS)",DSP002.004,PASS,
"External HDMI display in OS (Ubuntu)",DSP002.201,PASS,
"External HDMI display in OS (Fedora)",DSP002.202,PASS,
"External HDMI display in OS (Windows)",DSP002.301,PASS,
"Booting DTS from USB works correctly",DTS001.001,PASS,
"DTS option Creating Dasharo HCL report works correctly",DTS002.001,PASS,
"DTS option reboot DUT works correctly",DTS003.001,PASS,
"DTS accessing shell works correctly",DTS004.001,PASS,
"Flash device from DTS shell by using flashrom works correctly",DTS005.001,PASS,
"Flash device EC firmware by using DTS built-in script works correctly",DTS006.001,SKIP,
"Update device EC firmware by using DTS works correctly",DTS007.001,SKIP,
"DTS option power-off DUT works correctly",DTS008.001,PASS,
"Update Dasharo firmware by using DTS via USB works correctly",DTS009.001,SKIP,
"Update Dasharo firmware by using DTS via iPXE works correctly",DTS009.002,SKIP,
"Deploy Dasharo firmware by using DTS works correctly",DTS010.001,PASS,
"Deploy Dasharo SeaBios firmware by using DTS works correctly",DTS010.002,SKIP,
"Heads Transition by using DTS via iPXE works correctly",DTS011.001,SKIP,
"Boot into UEFI OS (Ubuntu)",EFI001.201,PASS,
"Boot into UEFI OS (Windows)",EFI001.301,PASS,
"Fast Boot Reduces Boot Time",FBT001.201,PASS,
"Fedora installation",FED001.001,PASS,
"Boot Fedora",FED001.002,PASS,
"Memory HCL - boot into OS (Ubuntu)",HCL001.001,PASS,
"Ubuntu LTS installation on Hard Disk",LBT004.001,PASS,
"Boot Ubuntu From Hard Disk",LBT004.002,PASS,
"Measured Boot support (Ubuntu)",MBO001.201,PASS,
"Measured Boot support (Fedora)",MBO001.202,PASS,
"Check if event log PCRs match actual values (Ubuntu)",MBO002.201,PASS,
"Check if event log PCRs match actual values (Fedora)",MBO002.202,PASS,
"Changing Secure Boot certificate changes only PCR-7",MBO003.001,PASS,
"Changing Dasharo network boot settings changes only PCR-1",MBO004.001,PASS,
"Changing Dasharo security settings changes only PCR-1",MBO004.002,PASS,
"Flashing firmware and reset to defaults results in same measurement",MBO005.001,PASS,
"Multiple reset to defaults results in identical measurements",MBO005.002,PASS,
"Identical configuration results in identical measurements",MBO006.001,PASS,
"Identical configuration after reset results in identical measurements",MBO006.002,PASS,
"ME disable option is available and has the correct default state",MNE001.001,PASS,"wrong id: should be .201"
"ME disable option off works correctly (Ubuntu)",MNE002.001,PASS,"wrong id: should be .201"
"ME disable option soft disable works correctly (Ubuntu)",MNE003.001,PASS,"wrong id: should be .201"
"ME disable HAP bit option works correctly (Ubuntu)",MNE004.001,PASS,"wrong id: should be .201"
