"Test name","Test ID","Result","Comments"
"Boot to OS - Ubuntu","BPS005.001","PASS",""
"Boot to OS - Windows","BPS005.002","PASS",""
"Ensure test dependencies","BPS006.001","PASS",""
"Internal flashing","BPS007.002","PASS",""
"Deploy UEFI Shell","BPS010.001","PASS",""
"Verify the firmware version","DMI002.201","PASS","Manual retest"
"Verify the firmware product name","DMI003.201","PASS",""
"Verify if no unexpected boot errors appear in Linux logs","STB002.201","PASS","Manual retest"
"Detect TPM after platform reboot (Ubuntu)","TPD003.201","PASS",""
"Detect TPM after platform suspend (Ubuntu)","TPD004.201","PASS",""
"TPM Support (firmware)","TPM001.001","PASS",""
"TPM Support (Ubuntu)","TPM001.201","PASS",""
"TPM Support (Windows)","TPM001.301","PASS",""
"Verify TPM version (firmware)","TPM002.001","PASS",""
"Verify TPM version (Ubuntu)","TPM002.201","PASS",""
"Verify TPM version (Windows)","TPM002.301","PASS",""
"Check TPM Physical Presence Interface (firmware)","TPM003.001","PASS",""
"Check TPM Physical Presence Interface (Ubuntu)","TPM003.201","PASS",""
"Check TPM Physical Presence Interface (Windows)","TPM003.301","PASS",""
"PCRREAD Function Verification (Ubuntu)","TPMCMD002.001","PASS",""
"PCREXTEND And PCRRESET Functions (Ubuntu)","TPMCMD003.001","PASS",""
"PCREXTEND And PCRRESET Functions - locality protections (Ubuntu)","TPMCMD003.002","PASS",""
"PCREVENT Function (Ubuntu)","TPMCMD004.001","PASS",""
"CREATEPRIMARY Function Verification (Ubuntu)","TPMCMD005.001","PASS",""
"NVDEFINE and NVUNDEFINE Functions Verification (Ubuntu)","TPMCMD006.001","PASS",""
"CREATE Function (Ubuntu)","TPMCMD007.001","PASS",""
"CREATELOADED Function (Ubuntu)","TPMCMD007.002","PASS",""
"Signing the file (Ubuntu)","TPMCMD008.001","PASS",""
"Hashing the file (Ubuntu)","TPMCMD010.001","PASS",""
"Performing HMAC operation on the file (Ubuntu)","TPMCMD011.001","PASS",""
"Wi-Fi scanning (Ubuntu)","WLE002.201","PASS","Manual retest"
