Test name,Test ID,Result,Comments
Audio subsystem detection (Ubuntu),AUD001.201,PASS,
Audio subsystem detection (Fedora),AUD001.202,PASS,
Audio subsystem detection (Qubes OS),AUD001.203,PASS,
Audio subsystem detection (Windows),AUD001.301,PASS,
External headset recognition (Ubuntu),AUD004.201,PASS,
External headset recognition (Fedora),AUD004.202,PASS,
External headset recognition (Qubes OS),AUD004.203,PASS,
External headset recognition (Windows),AUD004.301,PASS,
External headset audio playback (Ubuntu),AUD005.201,PASS,
External headset audio playback (Fedora),AUD005.202,PASS,
External headset audio playback (Qubes OS),AUD005.203,PASS,
External headset audio playback (Windows),AUD005.301,PASS,
External headset audio capture (Ubuntu),AUD006.201,PASS,
External headset audio capture (Fedora),AUD006.202,PASS,
External headset audio capture (Qubes OS),AUD006.203,PASS,
External headset audio capture (Windows),AUD006.301,PASS,Requires installing Realtek ALC 256 driver
HDMI audio recognition (Ubuntu),AUD007.201,PASS,
HDMI audio recognition (Fedora),AUD007.202,PASS,
HDMI Audio recognition (Qubes OS),AUD007.203,PASS,
HDMI audio recognition (Windows),AUD007.301,PASS,
HDMI audio playback (Ubuntu),AUD008.201,PASS,
HDMI Audio playback (Qubes OS),AUD008.203,PASS,
HDMI audio playback (Windows),AUD008.301,PASS,
BIOS lock support (Ubuntu),BLS001.201,PASS,
BIOS lock support (Fedora),BLS001.202,PASS,
BIOS lock support deactivation (Ubuntu),BLS002.201,PASS,
BIOS lock support deactivation (Fedora),BLS002.202,PASS,
Change Auto Boot Time-out and check after reboot (EDK2 UEFI),BMM001.101,PASS,
F9 resets Auto Boot Time-out to default value (EDK2 UEFI),BMM002.101,PASS,
Check Auto Boot Time-out option not accept non-numeric values (EDK2 UEFI),BMM003.101,PASS,
Boot Windows from disk after cold-boot (Windows),BWI001.301,PASS,
Boot Windows from disk after warm-boot (Windows),BWI002.301,PASS,
Boot Windows from disk after reboot (Windows),BWI003.301,PASS,
Custom boot menu key (EDK2 UEFI),CBK001.101,PASS,
Custom BIOS Menu Key (EDK2 UEFI),CBK002.101,PASS,
Serial boot time measure: coreboot booting time after coldboot (Ubuntu),CBMEM001.201,PASS,
Serial boot time measure: coreboot booting time after coldboot (Fedora),CBMEM001.202,PASS,
Serial boot time measure: coreboot booting time after warmboot (Ubuntu),CBMEM002.201,PASS,
Serial boot time measure: coreboot booting time after warmboot (Fedora),CBMEM002.202,PASS,
Serial boot time measure: coreboot booting time after system reboot (Ubuntu),CBMEM003.201,PASS,
Serial boot time measure: coreboot booting time after system reboot (Fedora),CBMEM003.202,PASS,
Custom Boot Order (EDK2 UEFI),CBO001.101,PASS,
Custom boot logo,CLG001.001,PASS,
Only one iPXE in boot menu (Ubuntu),CNB001.201,PASS,
Only one iPXE in boot menu (Fedora),CNB001.202,PASS,
CPU not stuck on initial frequency (Ubuntu),CPF001.201,PASS,
CPU not stuck on initial frequency (Fedora),CPF001.202,PASS,
CPU not stuck on initial frequency (Qubes OS),CPF001.203,PASS,
CPU runs on expected frequency (Ubuntu),CPF005.201,PASS,
CPU runs on expected frequency (Fedora),CPF005.202,PASS,
CPU runs on expected frequency (Qubes OS),CPF005.203,PASS,
CPU runs on expected frequency (Windows),CPF005.301,PASS,
CPU with load runs on expected frequency (Ubuntu),CPF009.201,PASS,
CPU with load runs on expected frequency (Fedora),CPF009.202,PASS,
CPU with load runs on expected frequency (Qubes OS),CPF009.203,PASS,
CPU with load runs on expected frequency (Windows),CPF009.301,PASS,
CPU temperature without load (Ubuntu),CPT001.201,PASS,
CPU temperature without load (Fedora),CPT001.202,PASS,
CPU temperature without load (Qubes OS),CPT001.203,PASS,
CPU temperature without load (Windows),CPT001.301,PASS,
CPU temperature after stress test (Ubuntu),CPT005.201,PASS,
CPU temperature after stress test (Fedora),CPT005.202,PASS,
CPU temperature after stress test (Qubes OS),CPT005.203,PASS,
CPU temperature after stress test (Windows),CPT005.301,PASS,
CPU works (Ubuntu),CPU001.201,PASS,
CPU works (Fedora),CPU001.202,PASS,
CPU works (Qubes OS),CPU001.203,PASS,
CPU works (Windows),CPU001.301,PASS,
CPU cache enabled (Ubuntu),CPU002.201,PASS,
CPU cache enabled (Fedora),CPU002.202,PASS,
CPU cache enabled (Qubes OS),CPU002.203,PASS,
CPU cache enabled (Windows),CPU002.301,PASS,
Multiple CPU support (Ubuntu),CPU003.201,PASS,
Multiple CPU support (Fedora),CPU003.202,PASS,
Multiple CPU support (Qubes OS),CPU003.203,PASS,Hyperthreading disabled in QubesOS
Multiple CPU support (Windows),CPU003.301,PASS,
Multiple-core support (Ubuntu),CPU004.201,PASS,
Multiple-core support (Fedora),CPU004.202,PASS,
Multiple-core support (Qubes OS),CPU004.203,PASS,Hyperthreading disabled in QubesOS
Multiple-core support (Windows),CPU004.301,PASS,
Capsule Update With Wrong Keys (EDK2 UEFI),CUP001.101,PASS,
Capsule Update With Wrong GUID (EDK2 UEFI),CUP002.101,PASS,
Capsule Update (EDK2 UEFI),CUP150.101,PASS,
Capsule update in Firmware Update Mode works (EDK2 UEFI),CUP260.101,PASS,
Automatic ME Disable Works (EDK2 UEFI),CUP270.101,PASS,
Change the bootsplash logo (Ubuntu),DCU003.201,PASS,
Change the bootsplash logo (Fedora),DCU003.202,PASS,
Verify SMMSTORE changes (Ubuntu),DCU004.201,PASS,
Verify SMMSTORE changes (Fedora),DCU004.202,PASS,
Verify the serial number (Ubuntu),DMI001.201,PASS,
Verify the device serial number (Fedora),DMI001.202,PASS,
Verify the firmware version (Ubuntu),DMI002.201,PASS,
Verify the firmware version (Fedora),DMI002.202,PASS,
Verify the firmware product name (Ubuntu),DMI003.201,PASS,
Verify the firmware product name (Fedora),DMI003.202,PASS,
Verify the firmware release date (Fedora),DMI004.202,PASS,
Verify the firmware manufacturer (Ubuntu),DMI005.201,PASS,
Verify the firmware manufacturer (Fedora),DMI005.202,PASS,
Verify the firmware vendor (Ubuntu),DMI006.201,PASS,
Verify the firmware vendor (Fedora),DMI006.202,PASS,
Verify the firmware family (Ubuntu),DMI007.201,PASS,
Verify the firmware family (Fedora),DMI007.202,PASS,
Verify the firmware type (Ubuntu),DMI008.201,PASS,
Verify the firmware type (Fedora),DMI008.202,PASS,
External HDMI display in firmware,DSP002.001,PASS,
External HDMI display in OS (Ubuntu),DSP002.201,PASS,
External HDMI display in OS (Fedora),DSP002.202,PASS,
External HDMI display in OS (Qubes OS),DSP002.203,PASS,
External HDMI display in OS (Windows),DSP002.301,PASS,
Flash device from DTS shell by using flashrom works correctly (DTS),DTS005.211,PASS,
DTS option power-off DUT works correctly (DTS),DTS008.211,PASS,
Boot into UEFI OS (Ubuntu),EFI001.201,PASS,
Boot into UEFI OS (Windows),EFI001.301,PASS,
Fast Boot Reduces Boot Time (Ubuntu),FBT001.201,PASS,
Fedora installation (Fedora),FED001.202,PASS,
Boot Fedora (Fedora),FED002.202,PASS,
Memory HCL - boot into OS (Ubuntu),HCL001.201,PASS,
Ubuntu LTS installation on Hard Disk (Ubuntu),LBT001.201,PASS,
Boot Ubuntu LTS From Hard Disk (Ubuntu),LBT002.201,PASS,
Measured Boot support (Ubuntu),MBO001.201,PASS,
Measured Boot support (Fedora),MBO001.202,PASS,
Check if event log PCRs match actual values (Ubuntu),MBO002.201,PASS,
Check if event log PCRs match actual values (Fedora),MBO002.202,PASS,
Changing Secure Boot certificate changes only PCR-7 (EDK2 UEFI),MBO003.101,PASS,
Changing Dasharo network boot settings changes only PCR-1 (EDK2 UEFI),MBO004.101,PASS,
Changing Dasharo security settings changes only PCR-1 (EDK2 UEFI),MBO005.101,PASS,
Flashing firmware and reset to defaults results in same measurement (EDK2 UEFI),MBO007.101,PASS,
Multiple reset to defaults results in identical measurements (EDK2 UEFI),MBO008.101,PASS,
Identical configuration results in identical measurements (EDK2 UEFI),MBO009.101,PASS,
ME disable option is available and has the correct default state (EDK2 UEFI),MNE001.101,PASS,
ME disable option off works correctly (Ubuntu),MNE002.201,PASS,
Intel ME mode option Enabled works correctly (Fedora),MNE002.202,PASS,
ME disable HAP bit option works correctly (Ubuntu),MNE004.201,PASS,
Intel ME mode option Disabled (HAP) works correctly (Fedora),MNE004.202,PASS,
Check Intel ME version (Ubuntu),MNE006.201,PASS,
Check Intel ME version (Fedora),MNE006.202,PASS,
Wireless card detection (Ubuntu),MWL001.201,PASS,
Wireless card detection (Fedora),MWL001.202,PASS,
Wireless card detection (Windows),MWL001.301,PASS,
Wi-Fi scanning (Ubuntu),MWL002.201,PASS,
Wi-Fi scanning (Fedora),MWL002.202,PASS,
Wi-Fi scanning (Windows),MWL002.301,PASS,
NET controller after coldboot (Ubuntu),NET001.201,PASS,
NET controller after coldboot (Qubes OS),NET001.203,PASS,
Net controller after warmboot (Ubuntu),NET002.201,PASS,
