NovaCustom V540TU v0.9.0 Test results,
Test,Result
TPM Support (Ubuntu),PASS
TPM Support (WIndows),PASS
Verify TPM version (firmware),PASS
Verify TPM version (Ubuntu),PASS
Verify TPM version (Windows),PASS
Check TPM Physical Presence Interface (firmware),PASS
Check TPM Physical Presence Interface (Ubuntu),PASS
Check TPM Physical Presence Interface (Windows),PASS
Detect TPM after platform reboot (Ubuntu),PASS
Detect TPM after platform suspend (Ubuntu),PASS
Generating keys for Verified Boot,PASS
Signing image without rebuild,PASS
Adding keys and building image,PASS
Flashing device with built firmware,PASS
Verified boot support (Ubuntu),PASS
Booting from Slot A (Ubuntu),PASS
Booting from Recovery (Ubuntu),PASS
Recovery boot popup (firmware),PASS
Recovery boot popup confirmation (firmware),PASS
Recovery popup is not displayed when correctly signed firmware is flashed in RW_A,PASS
BIOS lock support (Ubuntu),PASS
BIOS lock support deactivation (Ubuntu),PASS
Measured Boot support (Ubuntu),PASS
Check Secure Boot default state (firmware),PASS
UEFI Secure Boot (Ubuntu),PASS
UEFI Secure Boot (Windows),PASS
Attempt to boot file with the correct key from Shell (firmware),PASS
Attempt to boot file without the key from Shell (firmware),PASS
Attempt to boot file with the wrong-signed key from Shell (firmware),PASS
Reset Secure Boot Keys option availability (firmware),PASS
Attempt to boot the file after restoring keys to default (firmware),PASS
Attempt to enroll the key in the incorrect format (firmware),PASS
Check Password Setup option availability and default state,PASS
Password setting mechanism correctness checking,PASS
Attempt to log in with a correct password,PASS
Attempt to log in with an incorrect password,PASS
Attempt to log in with an incorrect password 3 times,PASS
Attempt to turn off setup password functionality,PASS
Attempt to set non-compilant password,PASS
Attempt to set old password,PASS
ME disable option is available and has the correct default state,PASS
ME disable option off works correctly (Ubuntu),PASS
ME disable option soft disable works correctly (Ubuntu),PASS
Check Intel ME version,PASS
Enable early boot DMA protection support,PASS
Disable early boot DMA protection support,PASS
Enable USB stack (firmware),PASS
Disable USB stack (firmware),PASS
Enable USB Mass Storage (firmware),PASS
Disable USB Mass Storage (firmware),PASS
Enable Network Boot (firmware),PASS
Disable Network Boot (firmware),PASS
SMM BIOS write protection enabling (Ubuntu),PASS
SMM BIOS write protection disabling (Ubuntu),PASS
WiFi / BT enable,PASS
WiFi / BT disable,PASS
Camera enable,PASS
Camera disable,PASS
Memory HCL - boot into OS (Ubuntu),PASS
Custom Boot Order,PASS
Custom boot menu key,PASS
Custom BIOS Menu Key,PASS
Custom boot logo,PASS
USB devices detected in FW,PASS
USB devices detected by OS (Ubuntu),PASS
USB devices detected by OS (Windows),PASS
USB keyboard detected in FW,PASS
USB keyboard in OS (Ubuntu),PASS
USB keyboard in OS (Windows),PASS
USB devices detection after cold boot (Ubuntu),PASS
USB devices detection after warm boot (Ubuntu),PASS
USB devices detection after reboot (Ubuntu),PASS
USB devices detection after suspension (Ubuntu),PASS
Only one iPXE in boot menu,PASS
Boot into UEFI OS (Ubuntu),PASS
Boot into UEFI OS (Windows),PASS
UEFI Shell,PASS
NVMe support in firmware,PASS
NVMe support in OS (Ubuntu),PASS
NVMe support in OS (Windows),PASS
NVMe detection after cold boot (Ubuntu),PASS
NVMe detection after warm boot (Ubuntu),PASS
NVMe detection after reboot (Ubuntu),PASS
NVMe detection after suspension (Ubuntu),PASS
NVMe detection after suspension (Ubuntu) (S0ix),PASS
Dasharo Network Boot is available,PASS
Dasharo network boot menu boot options order is correct,PASS
Autoboot option is available and works correctly,PASS
DTS option is available and works correctly,PASS
OS installation option is available and works correctly,PASS
iPXE shell option is available and works correctly,PASS
SD Card reader detection (Ubuntu),PASS
SD Card reader detection (Windows),PASS
SD Card read/write (Ubuntu),PASS
SD Card read/write (Windows),PASS
USB Camera (Ubuntu),PASS
USB Camera (Windows),PASS
Wireless card detection (Ubuntu),PASS
Wireless card detection (Windows),PASS
Wi-Fi scanning (Ubuntu),PASS
Wi-Fi scanning (Windows),PASS
Bluetooth scanning (Ubuntu),PASS
Bluetooth scanning (Windows),PASS
Wi-fi connection after cold boot (Ubuntu),PASS
Wi-fi connection after warm boot (Ubuntu),PASS
Wi-fi connection after reboot (Ubuntu),PASS
Wi-fi connection after suspension (Ubuntu),PASS
Internal LCD in firmware,PASS
Internal LCD in OS (Ubuntu),PASS
Internal LCD in OS (Windows),PASS
External HDMI display in OS (Ubuntu),PASS
External HDMI display in OS (Windows),PASS
External HDMI display in firmware,NOT SUPPORTED
Audio subsystem detection (Ubuntu),PASS
Audio subsystem detection (Windows),PASS
Internal speaker audio playback (Ubuntu),PASS
Internal speaker audio playback (Windows),PASS
Internal microhphone audio capture (Ubuntu),PASS
Internal microphone audio capture (Windows),PASS
External headset recognition (Ubuntu),PASS
External headset recognition (Windows),PASS
External headset audio playback (Ubuntu),PASS
External headset audio playback (Windows),PASS
External headset audio capture (Windows),PASS
HDMI audio recognition (Ubuntu),PASS
HDMI audio recognition (Windows),PASS
HDMI audio playback (Ubuntu),PASS
HDMI audio playback (Windows),PASS
Battery monitoring - charge level in OS (Ubuntu),PASS
Battery monitoring - charge level in OS (Windows),PASS
Battery monitoring - charging state in OS (Ubuntu),PASS
Battery monitoring - charging state in OS (Windows),PASS
Touchpad in OS - (Ubuntu),PASS
Touchpad in OS - (Windows),PASS
