Test name,Test ID,Result,Comments
"Audio subsystem detection (Qubes OS)",AUD001.003,PASS,
"Audio playback (Qubes OS)",AUD002.003,PASS,
"Audio capture (Qubes OS)",AUD003.003,PASS,
"External headset recognition (Qubes OS)",AUD004.003,PASS,
"External headset audio playback (Qubes OS)",AUD005.003,PASS,
"External headset audio capture (Qubes OS)",AUD006.003,PASS,
"HDMI audio recognition (Qubes OS)",AUD007.003,PASS,
"HDMI audio playback (Qubes OS)",AUD008.003,PASS,
"USB Camera (Qubes OS)",CAM001.003,PASS,
"CPU not stuck on initial frequency (Qubes OS) (battery)",CPF001.014,PASS,
"CPU not stuck on initial frequency (Qubes OS) (AC)",CPF001.015,PASS,
"CPU not stuck on initial frequency (Qubes OS) (USB-PD)",CPF001.016,PASS,
"CPU runs on expected frequency (Qubes OS) (battery)",CPF002.010,PASS,
"CPU runs on expected frequency (Qubes OS) (AC)",CPF002.011,PASS,
"CPU runs on expected frequency (Qubes OS) (USB-PD)",CPF002.012,PASS,
"CPU with load runs on expected frequency (Qubes OS) (battery)",CPF004.010,PASS,
"CPU with load runs on expected frequency (Qubes OS) (AC)",CPF004.011,PASS,
"CPU with load runs on expected frequency (Qubes OS) (USB-PD)",CPF004.012,PASS,
"CPU works (Qubes OS)",CPU001.003,PASS,
"CPU cache enabled (Qubes OS)",CPU002.003,PASS,
"Multiple CPU support (Qubes OS)",CPU003.003,PASS,
"Multiple-core support (Qubes OS)",CPU004.003,PASS,
"Internal LCD in OS (Qubes OS)",DSP001.004,PASS,
"External HDMI display in OS (Qubes OS)",DSP002.004,PASS,
"Battery monitoring - charge level in OS (Qubes OS)",ECR001.005,PASS,
"Battery monitoring - charging state in OS (Qubes OS)",ECR002.003,PASS,
"Touchpad in OS - (Qubes OS)",ECR003.003,PASS,
"Keyboard (standard keypad) in OS (Qubes OS)",ECR004.004,PASS,
"Keyboard (function key: play/pause) in OS (Qubes OS)",ECR005.003,PASS,
"Keyboard (function key: cooling mode) in OS (Qubes OS)",ECR006.003,PASS,
"Keyboard (function key: touchpad on/off) in OS (Qubes OS)",ECR007.003,PASS,
"Keyboard (function key: mute) in OS (Qubes OS)",ECR009.003,PASS,
"Keyboard (function key: keyboard backlight) in OS (Qubes OS)",ECR010.003,PASS,
"Keyboard (function key: volume down) in OS (Qubes OS)",ECR011.003,PASS,
"Keyboard (function key: volume up) in OS (Qubes OS)",ECR012.003,PASS,
"Keyboard (function key: display switch) in OS (Qubes OS)",ECR013.003,PASS,
"Keyboard (function key: brightness down) in OS (Qubes OS)",ECR014.003,PASS,
"Keyboard (function key: brightness up) in OS (Qubes OS)",ECR015.003,PASS,
"Keyboard (function key: camera on/off) in OS (Qubes OS)",ECR016.003,PASS,
"Keyboard (function key: flight mode) in OS (Qubes OS)",ECR017.003,PASS,
"Keyboard (function key: sleep) in OS (Qubes OS)",ECR018.003,PASS,
"Buttons (button: power) in OS (Qubes OS)",ECR019.003,PASS,
"Buttons (button: lid switch) in OS (Qubes OS)",ECR020.003,PASS,
"Permanent keyboard illumination after cold boot (Qubes OS)",ECR025.004,PASS,
"Permanent keyboard illumination after warm boot (Qubes OS)",ECR026.004,PASS,
"Permanent keyboard illumination after reboot (Qubes OS)",ECR027.004,PASS,
"Permanent keyboard illumination after suspension (Qubes OS)",ECR028.004,PASS,
"FnLock Hotkey (Qubes OS)",ECR029.003,PASS,
"Charging until 98% level in OS (Qubes OS)",ECR030.003,PASS,
"Not charging between 95% and 98% in OS (Qubes OS)",ECR030.004,PASS,
