Test name,Test ID,Result,Comments
"Audio subsystem detection (Ubuntu)",AUD001.001,PASS,
"Audio subsystem detection (Windows)",AUD001.002,NOT TESTED,
"HDMI audio recognition (Ubuntu)",AUD007.001,PASS,
"HDMI audio recognition (Windows)",AUD007.002,FAIL,"Manual fail, no device detected in windows"
"HDMI audio playback (Ubuntu)",AUD008.001,PASS,
"HDMI audio playback (Windows)",AUD008.002,FAIL,"Manual fail, no device detected in Windows
"
"Custom boot menu key",CBK001.001,PASS,
"Custom BIOS Menu Key",CBK002.001,PASS,
"Serial boot measure: coreboot booting time after cold boot",CBMEM001.001,NOT TESTED,
"Serial boot measure: coreboot booting time after warm boot",CBMEM002.001,NOT TESTED,
"Serial boot measure: coreboot booting time after system reboot",CBMEM003.001,NOT TESTED,
"Only one iPXE in boot menu",CNB001.002,NOT TESTED,
"CPU not stuck on initial frequency (Ubuntu)",CPF001.001,NOT TESTED,
"CPU runs on expected frequency (Ubuntu)",CPF002.001,NOT TESTED,
"CPU with load runs on expected frequency (Ubuntu)",CPF004.001,NOT TESTED,
"CPU temperature without load (Ubuntu)",CPT001.001,NOT TESTED,
"CPU temperature after stress test (Ubuntu)",CPT002.001,NOT TESTED,
"CPU works (Ubuntu)",CPU001.001,PASS,
"CPU works (Windows)",CPU001.002,NOT TESTED,
"CPU cache enabled (Ubuntu)",CPU002.001,PASS,
"CPU cache enabled (Windows)",CPU002.002,NOT TESTED,
"Multiple CPU support (Ubuntu)",CPU003.001,NOT TESTED,
"Multiple CPU support (Windows)",CPU003.002,NOT TESTED,
"Multiple-core support (Ubuntu)",CPU004.001,NOT TESTED,
"Multiple-core support (Windows)",CPU004.002,NOT TESTED,
"Change the UUID",DCU001.001,PASS,
"Change the serial number",DCU002.001,NOT TESTED,
"Change the bootsplash logo",DCU003.001,PASS,
"Verify SMMSTORE changes",DCU004.001,NOT TESTED,
"Verify the firmware version",DMI002.001,PASS,
"Verify the firmware product name",DMI003.001,PASS,
"Verify the firmware release date",DMI004.001,PASS,
"Verify the firmware manufacturer",DMI005.001,PASS,
"Verify the firmware vendor",DMI006.001,PASS,
"External HDMI display in OS (Ubuntu)",DSP002.001,PASS,"Man"
"External HDMI display in OS (Windows)",DSP002.002,PASS,"Man"
"External HDMI display in firmware",DSP002.003,PASS,
"External DP display in OS (Ubuntu)",DSP003.001,PASS,"Man"
"External DP display in OS (Windows)",DSP003.002,PASS,"Man"
"External DP display in firmware",DSP003.003,PASS,
"Boot into UEFI OS (Ubuntu)",EFI001.001,PASS,
"Boot into UEFI OS (Windows)",EFI001.002,NOT TESTED,
"PC speaker beep during boot (firmware)",ERR002.001,PASS,
"ESP Scan with OS-specific .efi files added",ESP001.001,FAIL,
"ESP Scan after deleting additional .efi files",ESP002.001,PASS,
"ESP Scan ignores OSes on removable media",ESP003.001,NOT TESTED,
"ESP Scan does not create duplicate entries",ESP004.001,PASS,
"ESP Scan detects Dasharo Tools Suite",ESP005.001,PASS,
"Measured Boot support (Ubuntu)",MBO001.001,NOT TESTED,
"Check if ME is statically disabled",MES001.001,PASS,
"Netboot is available",NBT001.001,PASS,
"OS Selection & Utilities is available",NBT002.001,PASS,
"iPXE boot is available",NBT003.001,PASS,
"iPXE shell is available",NBT004.001,PASS,
"iPXE shell works correctly",NBT005.001,PASS,
"Advanced option is available",NBT006.001,PASS,
"Change netboot URL works correctly",NBT007.001,PASS,
"Check Network Speed",NETSPD001.001,NOT TESTED,
"NVMe support in firmware",NVM001.001,NOT TESTED,
"NVMe support in OS (Ubuntu)",NVM001.002,NOT TESTED,
"NVMe support in OS (Windows)",NVM001.003,NOT TESTED,
"Check Password Setup option availability and default state",PSW001.001,PASS,
"Password setting mechanism correctness checking",PSW002.001,PASS,
"Attempt to log in with a correct password",PSW003.001,PASS,
"Attempt to log in with an incorrect password",PSW004.001,PASS,
"Attempt to log in with an incorrect password 3 times",PSW005.001,PASS,
"Attempt to turn off setup password functionality",PSW006.001,PASS,
"Attempt to set non-compilant password",PSW007.001,PASS,
"Attempt to set old password",PSW008.001,PASS,
"F9 resets Enable USB stack option to default",RTD001.001,PASS,
"F9 resets Enable USB Mass Storage driver option to default",RTD002.001,PASS,
"F9 resets Lock the BIOS boot medium option to default",RTD003.001,NOT TESTED,
"F9 resets Enable SMM BIOS write protection to default",RTD004.001,PASS,
"SATA support in firmware",SAT001.001,PASS,
"SATA support in OS (Ubuntu}",SAT001.002,PASS,
"SATA support in OS (Windows}",SAT001.003,PASS,
"Check Secure Boot default state (firmware)",SBO001.001,NOT TESTED,
"UEFI Secure Boot (Ubuntu)",SBO002.001,NOT TESTED,
"UEFI Secure Boot (Windows)",SBO002.002,NOT TESTED,
"Attempt to boot file with the correct key from Shell (firmware)",SBO003.001,NOT TESTED,
"Attempt to boot file without the key from Shell (firmware)",SBO004.001,NOT TESTED,
"Attempt to boot file with the wrong-signed key from Shell (firmware)",SBO005.001,NOT TESTED,
"Reset Secure Boot Keys option availability (firmware)",SBO006.001,NOT TESTED,
"Attempt to boot the file after restoring keys to default (firmware)",SBO007.001,NOT TESTED,
"Attempt to enroll the key in the incorrect format (firmware)",SBO008.001,NOT TESTED,
"CPU clock speed displayed in setup menu",SET001.001,PASS,
"RAM speed displayed in setup menu",SET002.001,PASS,
"RAM size displayed in setup menu",SET003.001,PASS,
"Expected CPU clock speed displayed in setup menu",SET004.001,PASS,
"Expected RAM speed displayed in setup menu",SET005.001,PASS,
"Expected RAM size displayed in setup menu",SET006.001,PASS,
"SMM BIOS write protection enabling (Ubuntu)",SMM001.001,PASS,
"SMM BIOS write protection disabling (Ubuntu)",SMM002.001,PASS,
"SATA LED and PC speaker error indication support (firmware)",SPK001.001,NOT TESTED,
"Check Ethernet Ports Order",SPS001.001,NOT TESTED,
"Verify if no reboot occurs in the firmware",STB001.001,NOT TESTED,
"Verify if no reboot occurs in the OS (Ubuntu)",STB001.002,NOT TESTED,
"Verify if no reboot occurs in the OS (Windows)",STB001.003,NOT TESTED,
"Verify if no unexpected boot errors appear in Linux logs",STB002.001,NOT TESTED,
"TPM Support (Ubuntu)",TPM001.002,PASS,
"TPM Support (WIndows)",TPM001.003,NOT TESTED,
"Verify TPM version (firmware)",TPM002.001,PASS,
"Verify TPM version (Ubuntu)",TPM002.002,PASS,
"Verify TPM version (Windows)",TPM002.003,NOT TESTED,
"Check TPM Physical Presence Interface (firmware)",TPM003.001,PASS,
"Check TPM Physical Presence Interface (Ubuntu)",TPM003.002,PASS,
"Check TPM Physical Presence Interface (Windows)",TPM003.003,NOT TESTED,
"Change active PCR banks with TPM PPI (firmware)",TPM003.004,PASS,
"Check if both SHA1 and SHA256 PCRs are enabled (Ubuntu)",TPMCMD001.001,PASS,
"PCRREAD Function Verification (Ubuntu)",TPMCMD002.001,PASS,
"PCREXTEND And PCRRESET Functions (Ubuntu)",TPMCMD003.001,PASS,
"PCREXTEND And PCRRESET Functions - locality protections (Ubuntu)",TPMCMD003.002,PASS,
"PCREVENT Function (Ubuntu)",TPMCMD004.001,PASS,
