Test name,Test ID,Result,Comments
"Audio subsystem detection (Ubuntu)",AUD001.201,PASS,
"Audio subsystem detection (Windows)",AUD001.301,PASS,
"BIOS lock support (Ubuntu)",BLS001.201,PASS,
"BIOS lock support deactivation (Ubuntu)",BLS002.201,PASS,
"Change Auto Boot Time-out and check after reboot",BMM001.001,PASS,
"F9 resets Auto Boot Time-out to default value",BMM002.001,PASS,
"Check Auto Boot Time-out option not accept non-numeric values",BMM003.001,PASS,
"Custom boot menu key",CBK001.001,PASS,
"Custom BIOS Menu Key",CBK002.001,PASS,
"Serial boot time measure: coreboot booting time after coldboot",CBMEM001.201,FAIL,"https://github.com/Dasharo/dasharo-issues/issues/1502"
"Serial boot time measure: coreboot booting time after warmboot",CBMEM002.201,FAIL,"https://github.com/Dasharo/dasharo-issues/issues/1502"
"Serial boot time measure: coreboot booting time after system reboot",CBMEM003.201,FAIL,"https://github.com/Dasharo/dasharo-issues/issues/1502"
"Only one iPXE in boot menu",CNB001.201,PASS,
"CPU not stuck on initial frequency (Ubuntu)",CPF001.201,PASS,
"CPU runs on expected frequency (Ubuntu)",CPF005.201,PASS,
"CPU with load runs on expected frequency (Ubuntu)",CPF009.201,PASS,
"CPU temperature without load (Ubuntu)",CPT001.201,PASS,
"CPU temperature after stress test (Ubuntu)",CPT005.201,PASS,
"CPU works (Ubuntu)",CPU001.201,PASS,
"CPU works (Windows)",CPU001.301,PASS,
"CPU cache enabled (Ubuntu)",CPU002.201,PASS,
"CPU cache enabled (Windows)",CPU002.301,PASS,
"Multiple CPU support (Ubuntu)",CPU003.201,PASS,
"Multiple CPU support (Windows)",CPU003.301,PASS,
"Multiple-core support (Ubuntu)",CPU004.201,PASS,
"Multiple-core support (Windows)",CPU004.301,PASS,
"Change the UUID",DCU001.201,PASS,
"Change the serial number",DCU002.201,PASS,
"Change the bootsplash logo",DCU003.201,PASS,
"Verify the firmware version",DMI002.201,PASS,
"Verify the firmware product name",DMI003.201,PASS,
"Verify the firmware release date",DMI004.201,PASS,
"Verify the firmware manufacturer",DMI005.201,PASS,
"Verify the firmware vendor",DMI006.201,PASS,
"External HDMI display in OS (Ubuntu)",DSP002.201,PASS,
"External DP display in OS (Ubuntu)",DSP003.201,PASS,
"External DP display in OS (Windows)",DSP003.301,PASS,
"Boot into UEFI OS (Ubuntu)",EFI001.201,PASS,
"Boot into UEFI OS (Windows)",EFI001.301,PASS,
"ESP Scan with OS-specific .efi files added",ESP001.001,PASS,
"ESP Scan after deleting additional .efi files",ESP002.001,PASS,
"ESP Scan does not create duplicate entries",ESP004.001,PASS,
"ESP Scan detects Dasharo Tools Suite",ESP005.001,PASS,
"Measured Boot support (Ubuntu)",MBO001.201,PASS,
"Check if ME is statically disabled",MES001.001,PASS,
"Netboot is available",NBT001.001,PASS,
"OS Selection & Utilities is available",NBT002.001,PASS,
"iPXE boot is available",NBT003.001,PASS,
"iPXE shell is available",NBT004.001,PASS,
"iPXE shell works correctly",NBT005.001,PASS,
"Advanced option is available",NBT006.001,PASS,
"Change netboot URL works correctly",NBT007.001,PASS,
"NVMe support in firmware",NVM001.001,PASS,
"NVMe support in OS (Ubuntu)",NVM001.201,PASS,
"NVMe support in OS (Windows)",NVM001.301,PASS,
"Check Password Setup option availability and default state",PSW001.001,PASS,
"Password setting mechanism correctness checking",PSW002.001,PASS,
"Attempt to log in with a correct password",PSW003.001,PASS,
"Attempt to log in with an incorrect password",PSW004.001,PASS,
"Attempt to log in with an incorrect password 3 times",PSW005.001,PASS,
"Attempt to turn off setup password functionality",PSW006.001,PASS,
"Attempt to set non-compliant password",PSW007.001,PASS,
"Attempt to set old password",PSW008.001,PASS,
"F9 resets Enable USB stack option to default",RTD001.001,PASS,
"F9 resets Enable USB Mass Storage driver option to default",RTD002.001,PASS,
"F9 resets Lock the BIOS boot medium option to default",RTD003.001,PASS,
"F9 resets Enable SMM BIOS write protection to default",RTD004.001,PASS,
"Check Secure Boot default state (firmware)",SBO001.001,PASS,
"UEFI Secure Boot (Ubuntu)",SBO002.001,PASS,
"UEFI Secure Boot (Windows)",SBO002.002,PASS,
"Reset Secure Boot Keys option availability (firmware)",SBO006.001,PASS,
"CPU clock speed displayed in setup menu",SET001.001,PASS,
"RAM speed displayed in setup menu",SET002.001,PASS,
"RAM size displayed in setup menu",SET003.001,PASS,
"Expected CPU clock speed displayed in setup menu",SET004.001,PASS,
"Expected RAM speed displayed in setup menu",SET005.001,PASS,
"Expected RAM size displayed in setup menu",SET006.001,PASS,
