Test name,Test ID,Result,Comments
"Audio subsystem detection (Ubuntu)",AUD001.001,PASS,"Manual"
"Audio subsystem detection (Windows)",AUD001.002,PASS,"Manual"
"HDMI audio recognition (Ubuntu)",AUD007.001,PASS,
"HDMI audio recognition (Windows)",AUD007.002,PASS,
"HDMI audio playback (Ubuntu)",AUD008.001,PASS,
"HDMI audio playback (Windows)",AUD008.002,PASS,
"BIOS lock support (Ubuntu)",BLS001.001,PASS,
"BIOS lock support deactivation (Ubuntu)",BLS002.001,PASS,
"Change Auto Boot Time-out and check after reboot",BMM001.001,PASS,"Manual"
"F9 resets Auto Boot Time-out to default value",BMM002.001,PASS,"Manual"
"Check Auto Boot Time-out option not accept non-numeric values",BMM003.001,PASS,"Manual"
"Custom boot menu key",CBK001.001,PASS,
"Custom BIOS Menu Key",CBK002.001,PASS,
"Serial boot measure: coreboot booting time after cold boot",CBMEM001.001,PASS,
"Serial boot measure: coreboot booting time after warm boot",CBMEM002.001,PASS,
"Serial boot measure: coreboot booting time after system reboot",CBMEM003.001,PASS,
"Custom boot logo",CLG001.001,PASS,
"Only one iPXE in boot menu",CNB001.002,PASS,"Manual"
"CPU not stuck on initial frequency (Ubuntu)",CPF001.001,PASS,
"CPU runs on expected frequency (Ubuntu)",CPF002.001,PASS,
"CPU with load runs on expected frequency (Ubuntu)",CPF004.001,PASS,
"CPU temperature without load (Ubuntu)",CPT001.001,PASS,
"CPU temperature after stress test (Ubuntu)",CPT002.001,PASS,
"CPU works (Ubuntu)",CPU001.001,PASS,
"CPU works (Windows)",CPU001.002,PASS,
"CPU cache enabled (Ubuntu)",CPU002.001,PASS,
"CPU cache enabled (Windows)",CPU002.002,PASS,
"Multiple CPU support (Ubuntu)",CPU003.001,PASS,
"Multiple CPU support (Windows)",CPU003.002,PASS,
"Multiple-core support (Ubuntu)",CPU004.001,PASS,
"Multiple-core support (Windows)",CPU004.002,PASS,
"Change the UUID",DCU001.001,PASS,
"Change the serial number",DCU002.001,PASS,
"Change the bootsplash logo",DCU003.001,PASS,
"Verify the firmware version",DMI002.001,PASS,"Manual"
"Verify the firmware product name",DMI003.001,PASS,
"Verify the firmware release date",DMI004.001,PASS,"Manual
"
"Verify the firmware manufacturer",DMI005.001,PASS,
"Verify the firmware vendor",DMI006.001,PASS,
"External HDMI display in firmware",DSP002.003,PASS,
"External HDMI display in OS (Ubuntu)",DSP002.201,PASS,
"External HDMI display in OS (Fedora)",DSP002.202,PASS,"Pass, assuming it was meant for Windows and not Fedora"
"External DP display in OS (Ubuntu)",DSP003.001,PASS,"Manual in the Full HD display"
"External DP display in OS (Windows)",DSP003.002,PASS,"Manual in the Full HD display"
"External DP display in firmware",DSP003.003,PASS,"Manual in the Full HD display"
"Boot into UEFI OS (Ubuntu)",EFI001.001,PASS,
"Boot into UEFI OS (Windows)",EFI001.002,PASS,
"SATA LED and PC speaker error indication support (firmware)",ERR001.001,PASS,
"PC speaker beep during boot (firmware)",ERR002.001,PASS,
"ESP Scan with OS-specific .efi files added",ESP001.001,PASS,
"ESP Scan after deleting additional .efi files",ESP002.001,PASS,
"ESP Scan ignores OSes on removable media",ESP003.001,PASS,"Manual"
"ESP Scan does not create duplicate entries",ESP004.001,PASS,
"ESP Scan detects Dasharo Tools Suite",ESP005.001,PASS,
"Check Performance of 2.5G Wired Network Interface (Ubuntu)",ETHPERF001.201,PASS,"Semi manual, requires disconnection from Internet, and using that port for loopback connection"
"Memory HCL - boot into OS (Ubuntu)",HCL001.001,PASS,
"Ubuntu LTS installation on Hard Disk",LBT004.001,PASS,
"Boot Ubuntu From Hard Disk",LBT004.002,PASS,
"Measured Boot support (Ubuntu)",MBO001.001,PASS,
"Check if ME is statically disabled",MES001.001,PASS,
"Netboot is available",NBT001.001,PASS,"Manual"
"OS Selection & Utilities is available",NBT002.001,PASS,
"iPXE boot is available",NBT003.001,PASS,
"iPXE shell is available",NBT004.001,PASS,
"iPXE shell works correctly",NBT005.001,PASS,
"Advanced option is available",NBT006.001,PASS,
"Change netboot URL works correctly",NBT007.001,PASS,
"NVMe support in firmware",NVM001.001,PASS,
"NVMe support in OS (Ubuntu)",NVM001.002,PASS,
"NVMe support in OS (Windows)",NVM001.003,PASS,
"Check Password Setup option availability and default state",PSW001.001,PASS,
"Password setting mechanism correctness checking",PSW002.001,PASS,
"Attempt to log in with a correct password",PSW003.001,PASS,
"Attempt to log in with an incorrect password",PSW004.001,PASS,
"Attempt to log in with an incorrect password 3 times",PSW005.001,PASS,
"Attempt to turn off setup password functionality",PSW006.001,PASS,
"Attempt to set non-compliant password",PSW007.001,PASS,
"Attempt to set old password",PSW008.001,PASS,
"F9 resets Enable USB stack option to default",RTD001.001,PASS,
"F9 resets Enable USB Mass Storage driver option to default",RTD002.001,PASS,
"F9 resets Lock the BIOS boot medium option to default",RTD003.001,PASS,
"F9 resets Enable SMM BIOS write protection to default",RTD004.001,PASS,
"SATA support in firmware",SAT001.001,PASS,
