Test name,Test ID,Result,Comments
"Audio subsystem detection (Ubuntu)",AUD001.201,PASS,
"Audio subsystem detection (Windows)",AUD001.301,PASS,
"HDMI audio recognition (Ubuntu)",AUD007.201,PASS,
"HDMI audio recognition (Windows)",AUD007.301,PASS,
"HDMI audio playback (Ubuntu)",AUD008.201,PASS,
"HDMI audio playback (Windows)",AUD008.301,PASS,
"BIOS lock support (Ubuntu)",BLS001.201,PASS,
"BIOS lock support deactivation (Ubuntu)",BLS002.201,PASS,
"Change Auto Boot Time-out and check after reboot",BMM001.001,PASS,
"F9 resets Auto Boot Time-out to default value",BMM002.001,PASS,
"Check Auto Boot Time-out option not accept non-numeric values",BMM003.001,PASS,
"Boot Ubuntu LTS from disk after cold-boot",BUB001.001,PASS,"00:25:83"
"Boot Ubuntu LTS from disk after warm-boot",BUB002.001,PASS,"00:21:04"
"Boot Ubuntu LTS from disk after reboot",BUB003.001,PASS,"00:21:09"
"Boot Ubuntu Server LTS from disk after cold-boot",BUS001.001,PASS,"00:30:29"
"Boot Ubuntu Server LTS from disk after warm-boot",BUS002.001,PASS,"00:27:77"
"Boot Ubuntu Server LTS from disk after reboot",BUS003.001,PASS,"00:22:35"
"Boot Windows 11 from disk after cold-boot",BWI001.001,PASS,"00:22:52"
"Boot Windows 11 from disk after warm-boot",BWI002.001,PASS,"00:19:75"
"Boot Windows 11 from disk after reboot",BWI003.001,PASS,"00:20:98"
"Custom boot menu key",CBK001.001,PASS,
"Custom BIOS Menu Key",CBK002.001,PASS,
"Serial boot time measure: coreboot booting time after coldboot",CBMEM001.201,PASS,
"Serial boot time measure: coreboot booting time after warmboot",CBMEM002.201,PASS,
"Serial boot time measure: coreboot booting time after system reboot",CBMEM003.201,PASS,
"Custom boot logo",CLG001.001,PASS,
"Only one iPXE in boot menu",CNB001.201,PASS,
"CPU not stuck on initial frequency (Ubuntu)",CPF001.201,PASS,
"CPU runs on expected frequency (Ubuntu)",CPF005.201,PASS,
"CPU with load runs on expected frequency (Ubuntu)",CPF009.201,PASS,
"CPU temperature without load (Ubuntu)",CPT001.201,PASS,
"CPU temperature after stress test (Ubuntu)",CPT005.201,PASS,
"CPU works (ESXi)",CPU001.011,PASS,
"CPU works (Ubuntu)",CPU001.201,PASS,
"CPU works (Windows)",CPU001.301,PASS,
"CPU cache enabled (ESXi)",CPU002.011,PASS,"   L2 Cache Size: 1310720
   L2 Cache Associativity: 10
   L2 Cache Line Size: 64
   L2 Cache CPU Count: 2
   L3 Cache Size: 12582912
   L3 Cache Associativity: 12
   L3 Cache Line Size: 64
   L3 Cache CPU Count: 4
   L2 Cache Size: 1310720
   L2 Cache Associativity: 10
   L2 Cache Line Size: 64
   L2 Cache CPU Count: 2
   L3 Cache Size: 12582912
   L3 Cache Associativity: 12
   L3 Cache Line Size: 64
   L3 Cache CPU Count: 4
   L2 Cache Size: 1310720
   L2 Cache Associativity: 10
   L2 Cache Line Size: 64
   L2 Cache CPU Count: 2
   L3 Cache Size: 12582912
   L3 Cache Associativity: 12
   L3 Cache Line Size: 64
   L3 Cache CPU Count: 4
   L2 Cache Size: 1310720
   L2 Cache Associativity: 10
   L2 Cache Line Size: 64
   L2 Cache CPU Count: 2
   L3 Cache Size: 12582912
   L3 Cache Associativity: 12
   L3 Cache Line Size: 64
   L3 Cache CPU Count: 4
"
"CPU cache enabled (Ubuntu)",CPU002.201,PASS,
"CPU cache enabled (Windows)",CPU002.301,PASS,
"Multiple CPU support (ESXi)",CPU003.011,PASS,"   CPU Packages: 1
   CPU Cores: 2
   CPU Threads: 4
   Hyperthreading Active: true
   Hyperthreading Supported: true
   Hyperthreading Enabled: true
   HV Support: 3
"
"Multiple CPU support (Ubuntu)",CPU003.201,PASS,
"Multiple CPU support (Windows)",CPU003.301,PASS,
"Multiple-core support (ESXi)",CPU004.011,PASS,"   Id: 0
   Package Id: 0
   Id: 1
   Package Id: 0
   Id: 2
   Package Id: 0
   Id: 3
   Package Id: 0
"
"Multiple-core support (Ubuntu)",CPU004.201,PASS,
"Multiple-core support (Windows)",CPU004.301,PASS,
"Change the UUID",DCU001.201,PASS,
"Change the serial number",DCU002.201,PASS,
"Change the bootsplash logo",DCU003.201,PASS,
"Verify SMMSTORE changes",DCU004.201,PASS,
"Verify the firmware version",DMI002.201,PASS,
"Verify the firmware product name",DMI003.201,PASS,
"Verify the firmware release date",DMI004.201,PASS,
"Verify the firmware manufacturer",DMI005.201,PASS,
"Verify the firmware vendor",DMI006.201,PASS,
"External HDMI display in firmware",DSP002.003,PASS,
