Test name,Test ID,MS7E06 MSI PRO Z790-P #1 v0.9.1
TPM Support (Ubuntu 22.04),TPM001.002,PASS
TPM Support (WIndows 11),TPM001.003,PASS
Verify TPM version (firmware),TPM002.001,PASS
Verify TPM version (Ubuntu 22.04),TPM002.002,PASS
Verify TPM version (Windows 11),TPM002.003,PASS
Check TPM Physical Presence Interface (firmware),TPM003.001,PASS
Check TPM Physical Presence Interface (Ubuntu 22.04),TPM003.002,PASS
Check TPM Physical Presence Interface (Windows 11),TPM003.003,PASS
Change active PCR banks with TPM PPI (firmware),TPM003.004,FAIL
Verified boot support (Ubuntu 22.04),VBO006.002,PASS
Booting from Slot A (Ubuntu 22.04),VBO007.002,PASS
Booting from Recovery (Ubuntu 22.04),VBO008.001,PASS
Recovery boot popup (firmware),VBO009.001,PASS
Recovery boot popup confirmation (firmware),VBO010.001,PASS
Recovery popup is not displayed when correctly signed firmware is flashed in RW_A,VBO011.001,PASS
BIOS lock support (Ubuntu 22.04),BLS001.001,PASS
BIOS lock support deactivation (Ubuntu 22.04),BLS002.001,PASS
Measured Boot support (Ubuntu 22.04),MBO001.001,PASS
Check Secure Boot default state (firmware),SBO001.001,PASS
UEFI Secure Boot (Ubuntu 22.04),SBO002.001,PASS
UEFI Secure Boot (Windows 11),SBO002.002,PASS
Attempt to boot file with the correct key from Shell (firmware),SBO003.001,PASS
Attempt to boot file without the key from Shell (firmware),SBO004.001,PASS
Attempt to boot file with the wrong-signed key from Shell (firmware),SBO005.001,PASS
Reset Secure Boot Keys option availability (firmware),SBO006.001,PASS
Attempt to boot the file after restoring keys to default (firmware),SBO007.001,PASS
Attempt to enroll the key in the incorrect format (firmware),SBO008.001,PASS
Check Password Setup option availability and default state,PSW001.001,PASS
Password setting mechanism correctness checking,PSW002.001,PASS
Attempt to log in with a correct password,PSW003.001,PASS
Attempt to log in with an incorrect password,PSW004.001,PASS
Attempt to log in with an incorrect password 3 times,PSW005.001,PASS
Attempt to turn off setup password functionality,PSW006.001,PASS
Attempt to set non-compilant password,PSW007.001,PASS
Attempt to set old password,PSW008.001,PASS
TCG OPAL disk password set and check,DMP001.001,PASS
ME disable option is available and has the correct default state,MNE001.001,PASS
ME disable option off works correctly (Ubuntu 22.04),MNE002.001,PASS
ME disable option soft disable works correctly (Ubuntu 22.04),MNE003.001,PASS
ME disable HAP bit option works correctly (Ubuntu 22.04),MNE004.001,PASS
Check Intel ME version,MNE006.001,PASS
Enable early boot DMA protection support,EDP001.001,PASS
Disable early boot DMA protection support,EDP002.001,PASS
Enable USB Mass Storage (firmware),USS003.001,PASS
Disable USB Mass Storage (firmware),USS004.001,PASS
Enable Network Boot (firmware),NBA001.001,PASS
Disable Network Boot (firmware),NBA002.001,PASS
SMM BIOS write protection enabling (Ubuntu 22.04),BLS001.001,PASS
SMM BIOS write protection disabling (Ubuntu 22.04),BLS002.001,PASS
Custom boot menu key,CBK001.001,PASS
Custom BIOS Menu Key,CBK002.001,PASS
Custom boot logo,CLG001.001,PASS
USB devices detected in FW,USB001.001,PASS
USB devices detected by OS (Ubuntu 22.04),USB001.002,PASS
USB devices detected by OS (Windows 11),USB001.003,PASS
USB keyboard detected in FW,USB002.001,PASS
USB keyboard in OS (Ubuntu 22.04),USB002.002,PASS
USB keyboard in OS (Windows 11),USB002.003,PASS
Boot into UEFI OS (Ubuntu 22.04),EFI001.001,PASS
Boot into UEFI OS (Windows 11),EFI001.002,PASS
UEFI Shell,USH001.001,PASS
NVMe support in firmware,NVM001.001 ,PASS
NVMe support in OS (Ubuntu 20.04),NVM001.002 ,PASS
NVMe support in OS (Windows 10),NVM001.003,PASS
Dasharo Network Boot is available,PXE001.001,PASS
Dasharo network boot menu boot options order is correct,PXE002.001,PASS
Autoboot option is available and works correctly,PXE003.001,PASS
DTS option is available and works correctly,PXE004.001,PASS
OS installation option is available and works correctly,PXE005.001,PASS
iPXE shell option is available and works correctly,PXE006.001,PASS
SD Card reader detection (Ubuntu 22.04),SDC001.001,PASS
SD Card reader detection (Windows 11),SDC001.002,PASS
SD Card read/write (Ubuntu 22.04),SDC002.001,PASS
SD Card read/write (Windows 11),SDC002.002,PASS
External HDMI display in OS (Ubuntu 22.04),DSP002.001,PASS
External HDMI display in OS (Windows 11),DSP002.002,PASS
External HDMI display in firmware,DSP002.003,PASS
External DP display in OS (Ubuntu 22.04),DSP003.001,PASS
External DP display in OS (Windows 11),DSP003.002,PASS
External DP display in firmware,DSP003.003,PASS
Audio subsystem detection (Ubuntu 22.04),AUD001.001,PASS
Audio subsystem detection (Windows 11),AUD001.002,PASS
External headset recognition (Ubuntu 22.04),AUD004.001,PASS
External headset recognition (Windows 11),AUD004.002,PASS
External headset audio playback (Ubuntu 22.04),AUD005.001,PASS
External headset audio playback (Windows 11),AUD005.002,PASS
External headset audio capture (Ubuntu 22.04),AUD006.001,PASS
External headset audio capture (Windows 11),AUD006.002,PASS
"Platform suspend and resume (Ubuntu 22.04, wakeup flag)",SUSP001.001,PASS
