Test name,Test ID,Result,Comments
"F9 resets Auto Boot Time-out to default value",BMM002.001,PASS,
"Verify the firmware version",DMI002.201,PASS,
"Verify the firmware product name",DMI003.201,PASS,
"DTS option is available and works correctly",PXE004.001,PASS,"Got https://ipxe.org/err/022fe4 error in the test. Probably not synchronized RTC. Tested manually and booted to DTS successfully."
"Verify if no unexpected boot errors appear in Linux logs (Ubuntu)",STB002.201,NOT TESTED,
"Verify if no unexpected boot errors appear in Linux logs (Fedora)",STB002.202,NOT TESTED,
"Verify TPM Version (Ubuntu)",TPM002.201,PASS,
"Verify TPM Version (Fedora)",TPM002.202,NOT TESTED,
"Verify TPM version (XCP-NG)",TPM002.205,NOT TESTED,
"Check if firmware runs on expected microcode revision",UCODE001.201,PASS,
"USB keyboard detected in FW",USB002.001,PASS,
"Wi-Fi scanning (Ubuntu)",WLE002.201,NOT TESTED,
"Wi-Fi scanning (Fedora)",WLE002.202,NOT TESTED,
